in s,C1 in V
-2.96528E+00,5.60854E-03
-2.96523E+00,5.76382E-03
-2.96518E+00,5.82681E-03
-2.96513E+00,5.94692E-03
-2.96508E+00,6.02603E-03
-2.96503E+00,6.10659E-03
-2.96498E+00,6.18423E-03
-2.96493E+00,6.23843E-03
-2.96488E+00,6.33364E-03
-2.96483E+00,6.35854E-03
-2.96478E+00,6.39663E-03
-2.96473E+00,6.49624E-03
-2.96468E+00,6.51382E-03
-2.96463E+00,6.52261E-03
-2.96458E+00,6.53579E-03
-2.96453E+00,6.55337E-03
-2.96448E+00,6.59146E-03
-2.96443E+00,6.62954E-03
-2.96438E+00,6.67642E-03
-2.96433E+00,6.66909E-03
-2.96428E+00,6.68081E-03
-2.96423E+00,6.68081E-03
-2.96417E+00,6.69546E-03
-2.96412E+00,6.71597E-03
-2.96407E+00,6.75552E-03
-2.96402E+00,6.69546E-03
-2.96397E+00,6.69106E-03
-2.96392E+00,6.71890E-03
-2.96387E+00,6.79507E-03
-2.96382E+00,6.74380E-03
-2.96377E+00,6.74233E-03
-2.96372E+00,6.79653E-03
-2.96367E+00,6.85513E-03
-2.96362E+00,6.85952E-03
-2.96357E+00,6.84194E-03
-2.96352E+00,6.88149E-03
-2.96347E+00,6.85513E-03
-2.96342E+00,6.87417E-03
-2.96337E+00,6.90200E-03
-2.96332E+00,6.91519E-03
-2.96327E+00,6.94595E-03
-2.96322E+00,6.97085E-03
-2.96317E+00,6.97524E-03
-2.96312E+00,6.95181E-03
-2.96307E+00,6.94741E-03
-2.96302E+00,7.00015E-03
-2.96297E+00,7.02505E-03
-2.96291E+00,7.05874E-03
-2.96286E+00,7.00454E-03
-2.96281E+00,6.98696E-03
-2.96276E+00,6.94888E-03
-2.96271E+00,6.97817E-03
-2.96266E+00,6.89614E-03
-2.96261E+00,6.84194E-03
-2.96256E+00,6.80093E-03
-2.96251E+00,6.76431E-03
-2.96246E+00,6.69839E-03
-2.96241E+00,6.59292E-03
-2.96236E+00,6.51675E-03
-2.96231E+00,6.44937E-03
-2.96226E+00,6.38198E-03
-2.96221E+00,6.33218E-03
-2.96216E+00,6.35562E-03
-2.96211E+00,6.25161E-03
-2.96206E+00,6.19888E-03
-2.96201E+00,6.19595E-03
-2.96196E+00,6.18423E-03
-2.96191E+00,6.17544E-03
-2.96186E+00,6.16812E-03
-2.96181E+00,6.17983E-03
-2.96176E+00,6.17690E-03
-2.96171E+00,6.19448E-03
-2.96165E+00,6.25308E-03
-2.96160E+00,6.26040E-03
-2.96155E+00,6.27358E-03
-2.96150E+00,6.37026E-03
-2.96145E+00,6.36001E-03
-2.96140E+00,6.41714E-03
-2.96135E+00,6.49185E-03
-2.96130E+00,6.54751E-03
-2.96125E+00,6.59438E-03
-2.96120E+00,6.59292E-03
-2.96115E+00,6.66616E-03
-2.96110E+00,6.71890E-03
-2.96105E+00,6.75991E-03
-2.96100E+00,6.74673E-03
-2.96095E+00,6.76284E-03
-2.96090E+00,6.76724E-03
-2.96085E+00,6.78481E-03
-2.96080E+00,6.84194E-03
-2.96075E+00,6.78188E-03
-2.96070E+00,6.79214E-03
-2.96065E+00,6.82876E-03
-2.96060E+00,6.82729E-03
-2.96055E+00,6.79360E-03
-2.96050E+00,6.85220E-03
-2.96045E+00,6.76431E-03
-2.96039E+00,6.79214E-03
-2.96034E+00,6.73501E-03
-2.96029E+00,6.70571E-03
-2.96024E+00,6.70571E-03
-2.96019E+00,6.75991E-03
-2.96014E+00,6.74526E-03
-2.96009E+00,6.74233E-03
-2.96004E+00,6.75991E-03
-2.95999E+00,6.79360E-03
-2.95994E+00,6.74966E-03
-2.95989E+00,6.76431E-03
-2.95984E+00,6.83755E-03
-2.95979E+00,6.84634E-03
-2.95974E+00,6.86245E-03
-2.95969E+00,6.82144E-03
-2.95964E+00,6.84341E-03
-2.95959E+00,6.89614E-03
-2.95954E+00,6.85513E-03
-2.95949E+00,6.84048E-03
-2.95944E+00,6.84634E-03
-2.95939E+00,6.83608E-03
-2.95934E+00,6.84634E-03
-2.95929E+00,6.87124E-03
-2.95924E+00,6.78774E-03
-2.95919E+00,6.81411E-03
-2.95913E+00,6.79946E-03
-2.95908E+00,6.83169E-03
-2.95903E+00,6.77017E-03
-2.95898E+00,6.72915E-03
